question,cluster,label,label_int
Internet mati nih,-1,problem,2.0
Harga STB berapa ya?,-1,information,0.0
Internet saya putus sambung,0,information,0.0
Mengapa saya tidak dapat mengisi formulir relokasi? setelah disubmit hanya blank,-1,,
mengapa ketika ingin melakukan pembayaran tidak dapat diproses?,-1,,
bisa dibantu informasikan prosedur pergantian paket layanan?,-1,,
apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?,-1,information,0.0
apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?,-1,information,0.0
Internet mati,-1,problem,2.0
apakah order promo bisa diproses berkali-kali?,-1,information,0.0
Internet saya mati min dari semalam,-1,problem,2.0
sudah dicoba restart tapi masih sama,-1,,
apa saja syarat untuk pergantian nama akun biznet?,0,information,0.0
berapa lama proses pergantian nama akun biznet?,0,information,0.0
apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?,-1,information,0.0
saya mau pasang baru,0,information,0.0
Ingin pasang baru,-1,,
apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?,-1,information,0.0
Ingin pasang baru di jonggol paket 0d,-1,,
bogor gunung putri,-1,,
boleh bantu ke cs ya,-1,,
Perum BDB 2 blok AS 12A rt 06 rw 13,-1,,
syarat relokasi apa saja?,0,information,0.0
cara mengecek cakupan area melalui apa ya?,-1,information,0.0
proses relokasi berapa lama?,-1,information,0.0
bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?,0,information,0.0
"bilamana alamat baru belum tercakup layanan biznet, syarat terminasi apa saja?",0,information,0.0
setelah pengisian form terminasi saya harus menunggu berapa lama untuk akun diterimasi?,-1,information,0.0
jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?,-1,information,0.0
bilamana kedepannnya saya ingin berlangganan kembali apakah bisa menggunakan akun yang sebelumnya?,-1,information,0.0
apakah bisa freeze akun?,-1,information,0.0
apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?,-1,information,0.0
jika saya tidak melakukan pembayaran sebulan apakah dikenakan pinalti?,0,information,0.0
bagaimana cara pendaftaran kartu kredit?,0,information,0.0
apa saja paket yang tersedia di biznet?,0,information,0.0
bagaimana cara beli modem?,0,information,0.0
ini kenapa ya los merah menyala pada modem saya?,0,information,0.0
bisa dicek ID pelanggan 1000308564 los meah menyala sejak pagi?,-1,,
los merah menyala sejak pagi,-1,,
"pada modem saya lampu merah menyala sejak pagi, bisa dicek?",0,information,0.0
apakah ada kompensasi jika koneksi internet biznet terputus berhari-hari?,0,information,0.0
"bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain, apakah uang saya bisa direfund?",0,information,0.0
Kamu sebagai apa di biznet,0,information,0.0
Apa kah kamu kenal dengan pak Adi,-1,information,0.0
Siapa owner biznet,-1,,
Itu kamu tau pak Adi owner biznet tadi ditanya gak tau,-1,,
Saya minta no WhatsApp nya dong,-1,,
Estimasi kunjungan teknisi biznet,-1,,
Channel IPTV Biznet apa aja ya ?,0,information,0.0
Mau refund dana Biznet,-1,,
Beberapa website tidak bisa diakses,-1,,
Bagaimana cara cek IP Server game valorant ?,-1,information,0.0
Berapa jarak ideal dari DP terdekat ke rumah untuk pemasangan ?,-1,information,0.0
cara relokasi layanan,-1,information,0.0
PSN tidak bisa konek,-1,,
Chromecast tidak bisa digunakan.,-1,,
Perbedaan frekuensi modem 2.4Ghz dan 5Ghz .,-1,,
Modem biznet wifi berapa ?,-1,information,0.0
Apakah modem Biznet sudah support wifi 6 ?,-1,information,0.0
Perbedaan wifi 5 dan wifi 6 modem ?,-1,,
Mau mengajukan sponsorship,-1,,
saya salah melakukan pembayaran ke akun orang lain,0,information,0.0
Apa kelemahan koneksi dengan fiber ?,-1,information,0.0
Kelemahan koneksi wifi,-1,,
fungsi parental control modem dan caranya,-1,,
Fungsi whitelist di modem,-1,,
fungsi blacklist modem,-1,,
Apa itu DDNS ?,-1,information,0.0
Bagaimana cara mengatur DDNS ?,0,information,0.0
cara pembayaran Biznet Home.,-1,information,0.0
Kuota habis,-1,,
