question,label,label_int
Internet mati nih,problem,2.0
Harga STB berapa ya?,information,0.0
Internet saya putus sambung,information,0.0
apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?,information,0.0
apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?,information,0.0
Internet mati,problem,2.0
apakah order promo bisa diproses berkali-kali?,information,0.0
Internet saya mati min dari semalam,problem,2.0
apa saja syarat untuk pergantian nama akun biznet?,information,0.0
berapa lama proses pergantian nama akun biznet?,information,0.0
apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?,information,0.0
saya mau pasang baru,information,0.0
apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?,information,0.0
syarat relokasi apa saja?,information,0.0
cara mengecek cakupan area melalui apa ya?,information,0.0
proses relokasi berapa lama?,information,0.0
bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?,information,0.0
"bilamana alamat baru belum tercakup layanan biznet, syarat terminasi apa saja?",information,0.0
setelah pengisian form terminasi saya harus menunggu berapa lama untuk akun diterimasi?,information,0.0
jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?,information,0.0
bilamana kedepannnya saya ingin berlangganan kembali apakah bisa menggunakan akun yang sebelumnya?,information,0.0
apakah bisa freeze akun?,information,0.0
apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?,information,0.0
jika saya tidak melakukan pembayaran sebulan apakah dikenakan pinalti?,information,0.0
bagaimana cara pendaftaran kartu kredit?,information,0.0
apa saja paket yang tersedia di biznet?,information,0.0
bagaimana cara beli modem?,information,0.0
ini kenapa ya los merah menyala pada modem saya?,information,0.0
"pada modem saya lampu merah menyala sejak pagi, bisa dicek?",information,0.0
apakah ada kompensasi jika koneksi internet biznet terputus berhari-hari?,information,0.0
"bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain, apakah uang saya bisa direfund?",information,0.0
Kamu sebagai apa di biznet,information,0.0
Apa kah kamu kenal dengan pak Adi,information,0.0
Channel IPTV Biznet apa aja ya ?,information,0.0
Mau refund dana Biznet,request,1.0
Bagaimana cara cek IP Server game valorant ?,information,0.0
Berapa jarak ideal dari DP terdekat ke rumah untuk pemasangan ?,information,0.0
cara relokasi layanan,information,0.0
Modem biznet wifi berapa ?,information,0.0
Apakah modem Biznet sudah support wifi 6 ?,information,0.0
Mau mengajukan sponsorship,request,1.0
saya salah melakukan pembayaran ke akun orang lain,information,0.0
Apa kelemahan koneksi dengan fiber ?,information,0.0
Apa itu DDNS ?,information,0.0
Bagaimana cara mengatur DDNS ?,information,0.0
cara pembayaran Biznet Home.,information,0.0
Rekomendasi router dari Biznet,information,0.0
Rekomendasi router tambahan dari Biznet,information,0.0
Internet saya down sudah 2 hari apa ada kompensasi ?,information,0.0
Berapa perangkat untuk 0D ?,information,0.0
Apa itu Biznet Wifi ?,information,0.0
Cara ganti layanan home ke metronet,information,0.0
Internet saya down sejak semalam,problem,2.0
mau beli ekstra kuota gimana,request,1.0
email biznet home,information,0.0
HOTLINE biznet home,information,0.0
cara cek coverage area,information,0.0
Apakah saya bisa menambah Add On IPTV ?,information,0.0
Apa syarat untuk berhenti berlangganan ?,information,0.0
cara pasang router tambahan,information,0.0
kapan teknisinya datang,information,0.0
Adakah perubahan nomor pelanggan utk biznet saya?,information,0.0
Kenapa My Biznet saya ada 2 akun atas nama orang lain?,information,0.0
modemnya rental sampai kapan ya?,information,0.0
tanggal berapa biasanya akan terdebet?,information,0.0
tanggal berapa cc biasanya akan terdebet?,information,0.0
untuk permintaan add on kouta bisa melalui apa saja?,information,0.0
bisa diinformasikan untuk reset kouta setiap tanggal berapa?,information,0.0
apakah bisa cek status internet saya,information,0.0
kalo lambat gmn,problem,2.0
kalo internet lambat gmn ceknya,problem,2.0
Apakah bisa melakukan perubahan paket?,information,0.0
"Mau tanya, kalo ini pingnya sesuai ga?",information,0.0
Cara relokasi,information,0.0
cara tau jumlah prangkat terhubng gimana,information,0.0
cara membeli promo,information,0.0
di batam ada layanan apa aja,information,0.0
kapan teknisi datang,information,0.0
cara mengetahui cakupan area,information,0.0
berapa suhu modem seharusnya,information,0.0
internet saya lambat,problem,2.0
Nomor call center homcare berapa,information,0.0
harga promo home internet 1D,information,0.0
mau nambah router min jual ngga,request,1.0
estimasi perbaikan kendala area sampai kapan?,information,0.0
harga mesh wifi berapa?,information,0.0
cara berlangganan biznet,information,0.0
internet Down,problem,2.0
cara order promo min,information,0.0
cara pengajuan auto debit,information,0.0
cara melakukan terminasi,information,0.0
harga IPTV,information,0.0
Apakah perubahan paket menghanguskan masa aktif?,information,0.0
cara login ke mybiznet,information,0.0
cara cek fup atau kuota,information,0.0
min modem saya hilang,information,0.0
mau masuk ke modem?,information,0.0
iya min cara akses ke modem mau ganti password,information,0.0
cara cek tanggal reset kuota?,information,0.0
Minta kompensasi karena internet kendala terus,information,0.0
cara mengganti password wifi,information,0.0
"Ka gmna ya sayang udah beres payment dari hari jumat janji di pasang sore ternyata gabisa katanya paling lambat pagi besok nya, tapi sampe sekrang belum datang datang gmna yah",problem,2.0
harga promo biznet home internet 2D modem beli,information,0.0
harga modem biznet,information,0.0
Modem saya ada lampu merahnya min?,information,0.0
cara upgrade layanan,information,0.0
jaringan saya putus sambung,problem,2.0
cara melakukan pembayaran melalui virtual account BCA,information,0.0
cara order promo,information,0.0
cara melakukan relokasi,information,0.0
Saya mau pindahin modem gimana caranya?,information,0.0
biaya relokasi,information,0.0
Apakah ada promo untuk bulan ini?,information,0.0
Harga biznet home internet 1D,information,0.0
internet saya bermasalah,information,0.0
Cara mengetahui id billing,information,0.0
cara registrasi kembali,information,0.0
harga home internet 0D,information,0.0
cara mengetahui masa aktif akun,information,0.0
cara order modem biznet,information,0.0
kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?,information,0.0
Cara pembayaran melalui tokopedia,information,0.0
cara restart modem,information,0.0
cara terminasi,information,0.0
cara menambah installasi biznet,information,0.0
mau ajuin perluasan wilayah gimana caranya?,information,0.0
cara menemukan sn modem,information,0.0
cara mengetahui jumlah perangkat yang terhubung,information,0.0
cara setting ke bridge,information,0.0
cara mengetahui nomor pembayaran baru,information,0.0
cara order promo melalui Mybiznet,information,0.0
cara mendapatkan form relokasi,information,0.0
cara add on kuota,information,0.0
Cara setting CCTV?,information,0.0
cara setting CCTV pakai jaringan biznet,information,0.0
cara reset password mybiznet,information,0.0
cara merubah e-mail terdaftar,information,0.0
internet saya down dari semalam,problem,2.0
Harga mesh wifi berapa,information,0.0
Harga paket yang tersedia di Biznet Home,information,0.0
Apakah layanan Biznet Home dikenakan kontrak,information,0.0
Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?,information,0.0
"Jika kuota utama habis, apakah internetnya tidak bisa digunakan?",information,0.0
Apa itu FUP,information,0.0
Kapan kuota akan direset,information,0.0
Apakah masa aktif terhitung 30 hari?,information,0.0
Apakah Biznet Home memiliki promo,information,0.0
Apakah Biznet Home memiliki kompensasi,information,0.0
Apakah Biznet dapat melakukan refund jika terjadi kesalahan pembayaran?,information,0.0
Apakah benar di beberapa area tidak diperlukan modem atau perangkat?,information,0.0
Bagaimana cara terminasi,information,0.0
Bagaimana cara relokasi,information,0.0
Bagaimana jika ingin relokasi namun alamat barunya tidak tercakup,information,0.0
Internetnya lambat,problem,2.0
Apakah Biznet ada pemblokiran IP,information,0.0
Berapa maksimal device pada layanan 0D,information,0.0
Berapa maksimal device pada layanan 1D,information,0.0
Berapa maksimal device pada layanan 2D,information,0.0
Berapa maksimal device pada layanan 3D,information,0.0
Apakah bisa memiliki lebih dari 1 akun?,information,0.0
Berapa lama proses pemasangan setelah dilakukan pembayaran,information,0.0
Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?,information,0.0
Berapa biaya instalasi,information,0.0
Berapa harga modem membeli dan menyewa,information,0.0
Apakah Biznet memiliki masa tenggang?,information,0.0
Apakah modem bisa diganti jika terjadi kerusakan,information,0.0
"Jika akunnya sudah diterminasi, apakah bisa berlangganan kembali",information,0.0
Apakah ada garasi pada pembelian modem?,information,0.0
Apakah ada garansi pada pembelian modem?,information,0.0
Apakah ada garansi pada perangkat Biznet IPTV STB,information,0.0
Berapa biaya relokasi,information,0.0
"Jika skema modem diawal menyewa, apakah bisa dilakukan pembelian",information,0.0
Apakah dikenakan biaya jika ingin downgrade layanan?,information,0.0
cara mengetaui billing ID,information,0.0
cara pembayaran,information,0.0
cara mengambil promo,information,0.0
cara mengecek coverage area,information,0.0
Apakah biznet memiliki SLA,information,0.0
Bagaimana cara memperluas jangkauan modem,information,0.0
Bagaimana mana cara memperluas jangkauan sinyal,information,0.0
Jika terdapat LOS merah di modem apakah yang harus dilakukan,information,0.0
Bagaimana jika speed yang didapatkan tidak sesuai,information,0.0
Apakah Biznet dapat dilakukan refund jika pelanggan tidak puas dengan layanannya,information,0.0
Apakah Biznet menyediakan kabel LAN,information,0.0
"Jika terdapat kendala pada adaptor, apakah bisa diganti",information,0.0
Bagaimana cara pembelian remote untuk STB,information,0.0
Bagaimana jika IPTV hanya blank hitam saja,information,0.0
Bagaimana cara restart STB,information,0.0
Bagaimana cara restart modem,information,0.0
Apakah biznet memiliki layanan bandwidth on demand,information,0.0
bagaimana cara registrasi Biznet,information,0.0
Via portal apa saja untuk menghubungi Biznet customer service,information,0.0
Apakah biznet metronet memiliki SLA,information,0.0
Apakah layanan Biznet Home upload dan downloadnya simetris,information,0.0
Bagaimana cara agar koneksi internet tetap stabil,information,0.0
"Jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?",information,0.0
"Jika FUP yang digunakan sudah melebihi pemakaian, apa yang akan terjadi",information,0.0
kalo nomor telepon Home care berapa ya? saya mau call,information,0.0
Apakah jika banyak perangkat yang terhubung dapat mempengaruhi FUP,information,0.0
Bagaimana cara pembelian extra kuota,information,0.0
Apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama 45 hari,information,0.0
"jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama",information,0.0
Apakah bisa menggunakan e-mail dan nomor telepon yang sama,information,0.0
apakah Biznet Home mengeluarkan invoice fisik,information,0.0
Internet saya down bisa di bantu cek?,problem,2.0
Berapa biaya visit berbayar,information,0.0
bagaimana cara merubah data,information,0.0
cara mengajukan perpindahan tiang biznet sebagai non customer,information,0.0
Bagaimana prtosedur relokasi?,information,0.0
Apa status modem saya?,information,0.0
jika modem saya rusak apakah bisa dilakukan pergantian?,information,0.0
bagaimana cara cek IP address saya?,information,0.0
bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?,information,0.0
Berapa meter jarak ideal pemakaian wifi dari modem biznet,information,0.0
apakah ada loker di Biznet,information,0.0
apakah modem biznet bisa digunakan kembali jika saya pernah ajukan terminasi?,information,0.0
apakah akun saya bisa dialihkan ke orang lain?,information,0.0
apakah KTP yang sudah saya daftarkan bisa didaftarkan lagi?,information,0.0
Apakah mybiznet ada aplikasinya di playstome atau appstore?,information,0.0
apakah bisa ajukan terminasi melalui MyBiznet?,information,0.0
apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?,information,0.0
bagaimana cara mengganti password wifi,information,0.0
apakah jaringan biznet bisa diperjual belikan lagi?,information,0.0
bagaimana cara mengganti SSID wifi,information,0.0
bagaimana cara membuat pembayaran menjadi auto debet,information,0.0
kapan akan dikirimkan reminder pembayaran,information,0.0
berapa meter jangkauan modem biznet,information,0.0
apakah jaringan Biznet free hotspot diluar bisa saya gunakan?,information,0.0
bagaimana cara berlangganan internetnya saja tanpa iptv,information,0.0
apakah perkantoran bisa menggunakan layanan Home?,information,0.0
bagaimana cara menambahkan kartu kredit,information,0.0
apakah akun saya bisa dialihkan ke non FUP?,information,0.0
bagaimana cara memberhentikan kartu kredit,information,0.0
jika FUP saya habis apakah inet saya masih bisa digunakan?,information,0.0
apakah biznet menyediakan modem wireless?,information,0.0
bagaimana jika ingin terminasi namun terdapat kartu kredit,information,0.0
Apakah perangkat akan diambil jika modemnya membeli,information,0.0
apakah tidak ada promo pembelian modem?,information,0.0
Apakah bisa dilakukan rekoneksi,information,0.0
apakah cabang gunung putri buka setiap hari?,information,0.0
Apakah tiang biznet berwarna kuning,information,0.0
apakah boleh saya datang ke cabang?,information,0.0
Harga internet 1DS,information,0.0
Harga internet 0DS,information,0.0
Harga internet 3DS,information,0.0
Harga internet 1DW,information,0.0
Harga internet 2DW,information,0.0
Harga internet 3DW,information,0.0
Apakah Free Extra Quota hanya untuk pelanggan baru atau existing,information,0.0
bagaimana cara ubah password akun mybiznet?,information,0.0
cara stop auto debet?,information,0.0
layanan IPTV biznet bisa terhubung ke berapa TV?,information,0.0
apakah stb tv biznet bisa ditukar jika rusak?,information,0.0
apakah dapat menchandise jika pemasangan biznet?,information,0.0
berapa harga remote iptv?,information,0.0
Apakah biznet menyediakan Merchandise,information,0.0
Apakah biznet melakukan pemblokiran port,information,0.0
apakah remot tv iptv bisa beli diluar biznet?,information,0.0
bagaimana cara melakukan pergantian password pada akun MyBiznet,information,0.0
Apakah sinyal modem akan mencakup seluruh ruangan,information,0.0
Apakah Biznet ada channel GBO,information,0.0
Apakah Biznet ada channel HBO,information,0.0
berapa lama proses installasi biznet?,information,0.0
apakah relokasi modem biznet bisa saya relokasi mandiri?,information,0.0
